,순위,영화명,개봉일,매출액,관객수,스크린수,배급사,coach,actor_main_name,actor_sub_name,actor_cameo_name,maker,only_gener,genre_one,year
107,108,댄싱퀸,2012.1.18,"30,129,259,500",4057546,534,씨제이이엔엠,이석훈,"['황정민', '엄정화']","['정성화', '오나라', '박정민', '박사랑', '안은정', '라미란', '이대연', '이한위', '최우리', '권병길', '서동원']",['조달환'],"['제이케이필름', '씨제이이엔엠']"," 코미디, 드라마 ",코미디,2012
108,109,우리 생애 최고의 순간,2008.1.10,"26,151,780,425",4044582,418,싸이더스,임순례,"['문소리', '김정은', '엄태웅', '김지영', '조은지', '강재원']","['이미도', '조영진', '이봉규', '정석용', '하정우', '정세형', '김종언', '김혜진', '강선희', '이수정', '최욱', '남궁은숙']",['성지루'],['엠케이픽처스'], 드라마 ,드라마,2008
109,110,꾼,2017.11.22,"31,313,568,795",4018341,"1,314",쇼박스,장창원,"['현빈', '유지태']","['배성우', '박성웅', '나나', '안세하', '최덕문', '허성태']",['차순배'],['영화사두둥'], 범죄 ,범죄,2017
110,111,타짜-신의 손,2014.9.3,"32,373,120,927",4015361,890,"롯데쇼핑㈜롯데엔터테인먼트,싸이더스",강형철,"['최승현', '신세경', '곽도원', '유해진', '김윤석', '이하늬', '김인권', '이경영', '고수희', '오정세']","['박효주', '이준혁', '이동휘', '김원해', '고준', '조경현', '박수영', '김민상']",['천우희'],['싸이더스'], 드라마 ,드라마,2014
111,112,공공의 적 2,2005.1.27,0,3911356,95,시네마서비스,강우석,"['설경구', '정준호', '유해진']","['강경덕', '박웅', '강신일', '홍지연', '전미애', '박태수', '남성훈', '한재준', '서영민', '박상욱', '최수경', '변희봉']",,['시네마서비스'], 드라마 ,드라마,2005
112,113,박수건달,2013.1.9,"28,379,548,569",3897969,599,쇼박스,조진규,"['박신양', '김정태', '엄지원', '정혜영']","['김성균', '최일화', '최지호', '김형범', '장원종']",,"['주식회사 제이앤피', '박수건달문화산업전문', '쇼박스']", 코미디 ,코미디,2013
113,114,한반도,2006.7.13,0,3880308,126,씨제이이엔엠,강우석,"['조재현', '안성기', '차인표', '문성근', '강신일', '이윤주']","['최종원', '최연식', '이승철', '백일섭', '이한위', '박길수', '최일화']",,['시네마서비스글로벌']," 드라마, 액션 ",드라마,2006
114,115,조선명탐정 : 사라진 놉의 딸,2015.2.11,"30,456,879,428",3872015,811,쇼박스,김석윤,"['김명민', '오달수', '이연희']","['조관우', '정원중', '최무성', '우현', '황정민']","['김원해', '박수영', '현우']",['청년필름']," 사극, 코미디, 어드벤처 ",사극,2015
115,116,역린,2014.4.30,"29,893,297,890",3849433,"1,054",롯데쇼핑㈜롯데엔터테인먼트,이재규,"['현빈', '정재영', '조정석', '한지민', '조재현', '박성웅', '김성령', '정은채']","['석현', '송영창', '김대명', '천보근', '서이숙', '성유빈', '전국향']",,"['굿초이스컷픽쳐스', '파파스필름']", 사극 ,사극,2014
116,117,콘크리트 유토피아,2023.8.9,"37,412,802,232",3849242,"1,731",롯데컬처웍스롯데엔터테인먼트,엄태화,"['이병헌', '박서준', '박보영']","['김선영', '김도윤', '박지후']","['김학선', '공민정', '엄태구', '정영기', '오희준', '김준배']","['클라이맥스 스튜디오', '비에이치 엔터테인먼트']"," 드라마, 기타 ",드라마,2023
